,Brand,All_vegan,Partial_vegan,Bad_parent_company,Black_owned,Ulta,Sephora,Beauty_Bay,Cult_Beauty,Nordstrom
824,Teadora,True,False,False,False,0,0,0,0,0
825,Terre Mere Cosmetics,True,False,False,False,0,0,0,0,0
826,Thera Wise,True,False,False,False,0,0,0,0,0
827,TheraBreath,False,False,False,False,0,0,0,0,0
828,Thesis,True,False,False,False,0,0,0,0,0
829,Three Main,False,False,False,False,0,0,0,0,0
830,Three Ships Beautypai,False,False,False,False,0,0,0,0,0
831,Thrive Causemetics,True,False,False,False,0,0,0,0,0
832,Tiki Bar Soap,False,False,False,False,0,0,0,0,0
833,ToN Cosmetics,True,False,False,False,0,0,0,0,0
834,Tomoe Kobo,False,False,False,False,0,0,0,0,0
835,Tom’s of Maine,False,False,True,False,0,0,0,0,0
836,Too Faced,False,True,True,False,1,1,0,1,1
837,Topix Pharmaceuticals,False,False,False,False,0,0,0,0,0
838,Topshop,False,False,False,False,0,0,0,0,0
839,Tower 28,True,False,False,False,0,0,0,0,0
840,Trader Joe’s Brand,False,False,False,False,0,0,0,0,0
841,Tree Hut,False,False,False,False,1,0,0,0,0
842,Tres Pure,False,False,False,False,0,0,0,0,0
843,Triumph & Disaster,False,False,False,False,0,0,0,0,0
844,Tropic Skincare,True,False,False,False,0,0,0,0,0
845,TruSelf Organics,False,False,False,False,0,0,0,0,0
846,True Moringa,True,False,False,False,0,0,0,0,0
847,True Natural,False,False,False,False,0,0,0,0,0
848,Trufora,True,False,False,False,0,0,0,0,0
849,Trust Fund Beauty,True,False,False,False,0,0,0,0,0
850,Typology,True,False,False,False,0,0,0,0,0
851,ULTA,False,False,False,False,1,0,0,0,0
852,URB Apothecary,False,False,False,False,0,0,0,0,0
853,Ulta Collection,False,False,False,False,0,0,0,0,0
854,Ultrasun,False,False,False,False,0,0,0,0,0
855,Uma Oils,True,False,False,False,0,0,0,1,0
856,Unfiltered By Raw Sugar,False,False,False,False,0,0,0,0,0
857,Unsun Cosmetics,False,False,False,True,0,0,0,0,0
858,Uoga Uoga,False,False,False,False,0,0,0,0,0
859,Uoma Beauty,False,False,False,True,1,0,0,1,0
860,Urban Decay,False,True,True,False,1,1,0,1,1
861,Urban Veda,True,False,False,False,1,0,0,0,0
862,Ursa Major,False,False,False,False,1,0,0,0,0
863,VIRGINIC,True,False,False,False,0,0,0,0,0
864,VOLANTE Skincare,False,False,False,False,0,0,0,0,0
865,Vanity Planet,False,False,False,False,0,0,0,0,0
